"GeographyKey","City","StateProvinceCode","StateProvinceName","CountryRegionCode","EnglishCountryRegionName","SpanishCountryRegionName","FrenchCountryRegionName","PostalCode","SalesTerritoryKey","IpAddressLocator"
"1","Alexandria","NSW","New South Wales","AU","Australia","Australia","Australie","2015","9","198.51.100.2"
"2","Coffs Harbour","NSW","New South Wales","AU","Australia","Australia","Australie","2450","9","198.51.100.3"
"3","Darlinghurst","NSW","New South Wales","AU","Australia","Australia","Australie","2010","9","198.51.100.4"
"4","Goulburn","NSW","New South Wales","AU","Australia","Australia","Australie","2580","9","198.51.100.5"
"5","Lane Cove","NSW","New South Wales","AU","Australia","Australia","Australie","1597","9","198.51.100.6"
"6","Lavender Bay","NSW","New South Wales","AU","Australia","Australia","Australie","2060","9","198.51.100.7"
"7","Malabar","NSW","New South Wales","AU","Australia","Australia","Australie","2036","9","198.51.100.8"
"8","Matraville","NSW","New South Wales","AU","Australia","Australia","Australie","2036","9","198.51.100.9"
"9","Milsons Point","NSW","New South Wales","AU","Australia","Australia","Australie","2061","9","198.51.100.10"
"10","Newcastle","NSW","New South Wales","AU","Australia","Australia","Australie","2300","9","198.51.100.11"
"11","North Ryde","NSW","New South Wales","AU","Australia","Australia","Australie","2113","9","198.51.100.12"
"12","North Sydney","NSW","New South Wales","AU","Australia","Australia","Australie","2055","9","198.51.100.13"
"13","Port Macquarie","NSW","New South Wales","AU","Australia","Australia","Australie","2444","9","198.51.100.14"
"14","Rhodes","NSW","New South Wales","AU","Australia","Australia","Australie","2138","9","198.51.100.15"
"15","Silverwater","NSW","New South Wales","AU","Australia","Australia","Australie","2264","9","198.51.100.16"
"16","Springwood","NSW","New South Wales","AU","Australia","Australia","Australie","2777","9","198.51.100.17"
"17","St. Leonards","NSW","New South Wales","AU","Australia","Australia","Australie","2065","9","198.51.100.18"
"18","Sydney","NSW","New South Wales","AU","Australia","Australia","Australie","1002","9","198.51.100.19"
"19","Wollongong","NSW","New South Wales","AU","Australia","Australia","Australie","2500","9","198.51.100.20"
"20","Brisbane","QLD","Queensland","AU","Australia","Australia","Australie","4000","9","198.51.100.21"
"21","Caloundra","QLD","Queensland","AU","Australia","Australia","Australie","4551","9","198.51.100.22"
"22","East Brisbane","QLD","Queensland","AU","Australia","Australia","Australie","4169","9","198.51.100.23"
"23","Gold Coast","QLD","Queensland","AU","Australia","Australia","Australie","4217","9","198.51.100.24"
"24","Hawthorne","QLD","Queensland","AU","Australia","Australia","Australie","4171","9","198.51.100.25"
"25","Hervey Bay","QLD","Queensland","AU","Australia","Australia","Australie","4655","9","198.51.100.26"
"26","Rockhampton","QLD","Queensland","AU","Australia","Australia","Australie","4700","9","198.51.100.27"
"27","Townsville","QLD","Queensland","AU","Australia","Australia","Australie","4810","9","198.51.100.28"
"28","Cloverdale","SA","South Australia","AU","Australia","Australia","Australie","6105","9","198.51.100.29"
"29","Findon","SA","South Australia","AU","Australia","Australia","Australie","5023","9","198.51.100.30"
"30","Perth","SA","South Australia","AU","Australia","Australia","Australie","6006","9","198.51.100.31"
"31","Hobart","TAS","Tasmania","AU","Australia","Australia","Australie","7001","9","198.51.100.32"
"32","Bendigo","VIC","Victoria","AU","Australia","Australia","Australie","3550","9","198.51.100.33"
"33","Cranbourne","VIC","Victoria","AU","Australia","Australia","Australie","3977","9","198.51.100.34"
"34","Geelong","VIC","Victoria","AU","Australia","Australia","Australie","3220","9","198.51.100.35"
"35","Melbourne","VIC","Victoria","AU","Australia","Australia","Australie","3000","9","198.51.100.36"
"36","Melton","VIC","Victoria","AU","Australia","Australia","Australie","3337","9","198.51.100.37"
"37","Seaford","VIC","Victoria","AU","Australia","Australia","Australie","3198","9","198.51.100.38"
"38","South Melbourne","VIC","Victoria","AU","Australia","Australia","Australie","3205","9","198.51.100.39"
"39","Sunbury","VIC","Victoria","AU","Australia","Australia","Australie","3429","9","198.51.100.40"
"40","Warrnambool","VIC","Victoria","AU","Australia","Australia","Australie","3280","9","198.51.100.41"
"41","Calgary","AB","Alberta","CA","Canada","Canada","Canada","T2P 2G8","6","198.51.100.42"
"42","Edmonton","AB","Alberta","CA","Canada","Canada","Canada","T5","6","198.51.100.43"
"43","Burnaby","BC","British Columbia","CA","Canada","Canada","Canada","V3J 6Z3","6","198.51.100.44"
"44","Burnaby","BC","British Columbia","CA","Canada","Canada","Canada","V5A 3A6","6","198.51.100.45"
"45","Burnaby","BC","British Columbia","CA","Canada","Canada","Canada","V5A 4X1","6","198.51.100.46"
"46","Burnaby","BC","British Columbia","CA","Canada","Canada","Canada","V5G 4S4","6","198.51.100.47"
"47","Burnaby","BC","British Columbia","CA","Canada","Canada","Canada","V5G 4W1","6","198.51.100.48"
"48","Burnaby","BC","British Columbia","CA","Canada","Canada","Canada","V5H 3Z7","6","198.51.100.49"
"49","Cliffside","BC","British Columbia","CA","Canada","Canada","Canada","V8Y 1L1","6","198.51.100.50"
"50","Haney","BC","British Columbia","CA","Canada","Canada","Canada","V2W 1W2","6","198.51.100.51"
"51","Langford","BC","British Columbia","CA","Canada","Canada","Canada","V9","6","198.51.100.52"
"52","Langley","BC","British Columbia","CA","Canada","Canada","Canada","V3A 4R2","6","198.51.100.53"
"53","Metchosin","BC","British Columbia","CA","Canada","Canada","Canada","V9","6","198.51.100.54"
"54","N. Vancouver","BC","British Columbia","CA","Canada","Canada","Canada","V7L 4J4","6","198.51.100.55"
"55","Newton","BC","British Columbia","CA","Canada","Canada","Canada","V2L3W8","6","198.51.100.56"
"56","Newton","BC","British Columbia","CA","Canada","Canada","Canada","V2M1N7","6","198.51.100.57"
"57","Newton","BC","British Columbia","CA","Canada","Canada","Canada","V2M1P1","6","198.51.100.58"
"58","Newton","BC","British Columbia","CA","Canada","Canada","Canada","V2M1S6","6","198.51.100.59"
"59","Oak Bay","BC","British Columbia","CA","Canada","Canada","Canada","V8P","6","198.51.100.60"
"60","Port Hammond","BC","British Columbia","CA","Canada","Canada","Canada","V6B 3P7","6","198.51.100.61"
"61","Richmond","BC","British Columbia","CA","Canada","Canada","Canada","V6B 3P7","6","198.51.100.62"
"62","Royal Oak","BC","British Columbia","CA","Canada","Canada","Canada","V8X","6","198.51.100.63"
"63","Shawnee","BC","British Columbia","CA","Canada","Canada","Canada","V8Z 4N5","6","198.51.100.64"
"64","Shawnee","BC","British Columbia","CA","Canada","Canada","Canada","V9B 2C3","6","198.51.100.65"
"65","Shawnee","BC","British Columbia","CA","Canada","Canada","Canada","V9B 5T2","6","198.51.100.66"
"66","Sooke","BC","British Columbia","CA","Canada","Canada","Canada","V0","6","198.51.100.67"
"67","Surrey","BC","British Columbia","CA","Canada","Canada","Canada","V3T 4W3","6","198.51.100.68"
"68","Vancouver","BC","British Columbia","CA","Canada","Canada","Canada","V7L 4J4","6","198.51.100.69"
"69","Victoria","BC","British Columbia","CA","Canada","Canada","Canada","V8V","6","198.51.100.70"
"70","Westminster","BC","British Columbia","CA","Canada","Canada","Canada","V3L 1E7","6","198.51.100.71"
"71","Westminster","BC","British Columbia","CA","Canada","Canada","Canada","V3L 1H4","6","198.51.100.72"
"72","Winnipeg","MB","Manitoba","CA","Canada","Canada","Canada","R3","6","198.51.100.73"
"73","Saint John","NB","Brunswick","CA","Canada","Canada","Canada","E2P 1E3","6","198.51.100.74"
"74","Aurora","ON","Ontario","CA","Canada","Canada","Canada","L4G 7N6","6","198.51.100.75"
"75","Barrie","ON","Ontario","CA","Canada","Canada","Canada","L4N","6","198.51.100.76"
"76","Brampton","ON","Ontario","CA","Canada","Canada","Canada","L6W 2T7","6","198.51.100.77"
"77","Chalk Riber","ON","Ontario","CA","Canada","Canada","Canada","K0J 1J0","6","198.51.100.78"
"78","Etobicoke","ON","Ontario","CA","Canada","Canada","Canada","M9W 3P3","6","198.51.100.79"
"79","Kanata","ON","Ontario","CA","Canada","Canada","Canada","K2L 1H5","6","198.51.100.80"
"80","Kingston","ON","Ontario","CA","Canada","Canada","Canada","7L","6","198.51.100.81"
"81","Markham","ON","Ontario","CA","Canada","Canada","Canada","L3S 3K2","6","198.51.100.82"
"82","Mississauga","ON","Ontario","CA","Canada","Canada","Canada","L4W 5J3","6","198.51.100.83"
"83","Mississauga","ON","Ontario","CA","Canada","Canada","Canada","L5A 1H6","6","198.51.100.84"
"84","Mississauga","ON","Ontario","CA","Canada","Canada","Canada","L5B 3V4","6","198.51.100.85"
"85","Nepean","ON","Ontario","CA","Canada","Canada","Canada","K2J 2W5","6","198.51.100.86"
"86","North York","ON","Ontario","CA","Canada","Canada","Canada","M4C 4K6","6","198.51.100.87"
"87","Ottawa","ON","Ontario","CA","Canada","Canada","Canada","K4B 1S1","6","198.51.100.88"
"88","Ottawa","ON","Ontario","CA","Canada","Canada","Canada","K4B 1S2","6","198.51.100.89"
"89","Ottawa","ON","Ontario","CA","Canada","Canada","Canada","K4B 1S3","6","198.51.100.90"
"90","Ottawa","ON","Ontario","CA","Canada","Canada","Canada","K4B 1T7","6","198.51.100.91"
"91","Richmond Hill","ON","Ontario","CA","Canada","Canada","Canada","L4E 3M5","6","198.51.100.92"
"92","Scarborough","ON","Ontario","CA","Canada","Canada","Canada","M1V 4M2","6","198.51.100.93"
"93","Toronto","ON","Ontario","CA","Canada","Canada","Canada","M4B 1V4","6","198.51.100.94"
"94","Toronto","ON","Ontario","CA","Canada","Canada","Canada","M4B 1V5","6","198.51.100.95"
"95","Toronto","ON","Ontario","CA","Canada","Canada","Canada","M4B 1V6","6","198.51.100.96"
"96","Toronto","ON","Ontario","CA","Canada","Canada","Canada","M4B 1V7","6","198.51.100.97"
"97","Vancouver","ON","Ontario","CA","Canada","Canada","Canada","V5T 1Y9","6","198.51.100.98"
"98","Waterloo","ON","Ontario","CA","Canada","Canada","Canada","N2V","6","198.51.100.99"
"99","Weston","ON","Ontario","CA","Canada","Canada","Canada","M9V 4W3","6","198.51.100.100"
"100","Brossard","QC","Quebec","CA","Canada","Canada","Canada","J4Z 1C5","6","198.51.100.101"
